part_id,part_name,unit_cost_usd,initial_stock,reorder_level,primary_supplier_id
PART_0001,Compressor Seal Kit,61.46,12,4,SUP_0322
PART_0002,Cooling Fan,160.78,48,8,SUP_0306
PART_0003,Motor Bearing,75.9,29,11,SUP_0240
PART_0004,Pressure Valve,485.62,40,15,SUP_0483
PART_0005,Coupling Seal,30.1,51,3,SUP_0350
PART_0006,Oil Filter,798.61,53,6,SUP_0394
PART_0007,Dryer Valve Assembly,584.05,12,6,SUP_0223
PART_0008,Pressure Switch,159.18,5,13,SUP_0449
PART_0009,Air Filter,653.32,37,14,SUP_0092
PART_0010,Drive Belt,466.76,11,15,SUP_0321
PART_0011,Temperature Sensor,282.63,45,10,SUP_0312
PART_0012,Current Sensor,195.04,28,14,SUP_0083
PART_0013,Hose Assembly,494.65,54,10,SUP_0471
PART_0014,Solenoid Valve,20.5,25,9,SUP_0010
PART_0015,Gasket Set,118.44,28,15,SUP_0414
PART_0016,Relay Module,290.61,8,5,SUP_0450
PART_0017,Control Fuse,519.27,10,3,SUP_0375
PART_0018,Lubricant Pack,447.67,9,14,SUP_0273
PART_0019,Compressor Seal Kit,693.93,13,12,SUP_0244
PART_0020,Cooling Fan,853.23,15,6,SUP_0271
PART_0021,Motor Bearing,787.74,32,5,SUP_0476
PART_0022,Pressure Valve,494.58,51,13,SUP_0103
PART_0023,Coupling Seal,647.4,30,12,SUP_0333
PART_0024,Oil Filter,348.61,38,9,SUP_0062
PART_0025,Dryer Valve Assembly,238.16,9,7,SUP_0011
PART_0026,Pressure Switch,537.71,19,11,SUP_0113
PART_0027,Air Filter,26.33,50,12,SUP_0031
PART_0028,Drive Belt,221.47,7,15,SUP_0170
PART_0029,Temperature Sensor,82.35,20,6,SUP_0343
PART_0030,Current Sensor,447.16,39,4,SUP_0371
PART_0031,Hose Assembly,843.25,41,11,SUP_0243
PART_0032,Solenoid Valve,233.84,35,14,SUP_0209
PART_0033,Gasket Set,187.56,11,12,SUP_0221
PART_0034,Relay Module,331.78,31,9,SUP_0443
PART_0035,Control Fuse,661.59,48,12,SUP_0331
PART_0036,Lubricant Pack,106.61,30,13,SUP_0174
PART_0037,Compressor Seal Kit,724.52,11,5,SUP_0099
PART_0038,Cooling Fan,187.38,33,4,SUP_0217
PART_0039,Motor Bearing,181.47,34,5,SUP_0448
PART_0040,Pressure Valve,832.47,33,14,SUP_0442
PART_0041,Coupling Seal,773.25,11,2,SUP_0334
PART_0042,Oil Filter,899.37,58,2,SUP_0497
PART_0043,Dryer Valve Assembly,102.07,53,15,SUP_0122
PART_0044,Pressure Switch,166.35,36,9,SUP_0110
PART_0045,Air Filter,780.89,8,4,SUP_0195
PART_0046,Drive Belt,21.9,29,6,SUP_0475
PART_0047,Temperature Sensor,709.98,34,6,SUP_0217
PART_0048,Current Sensor,633.0,51,14,SUP_0285
PART_0049,Hose Assembly,602.45,36,4,SUP_0098
PART_0050,Solenoid Valve,281.1,8,11,SUP_0377
PART_0051,Gasket Set,497.13,52,7,SUP_0030
PART_0052,Relay Module,64.13,35,10,SUP_0471
PART_0053,Control Fuse,770.39,15,2,SUP_0492
PART_0054,Lubricant Pack,466.89,59,4,SUP_0036
PART_0055,Compressor Seal Kit,543.63,48,15,SUP_0121
PART_0056,Cooling Fan,375.32,41,5,SUP_0297
PART_0057,Motor Bearing,543.18,44,3,SUP_0215
PART_0058,Pressure Valve,598.49,41,10,SUP_0162
PART_0059,Coupling Seal,842.54,18,12,SUP_0367
PART_0060,Oil Filter,296.48,21,8,SUP_0068
PART_0061,Dryer Valve Assembly,611.09,24,9,SUP_0162
PART_0062,Pressure Switch,837.54,9,2,SUP_0235
PART_0063,Air Filter,566.62,41,3,SUP_0038
PART_0064,Drive Belt,493.12,37,6,SUP_0068
PART_0065,Temperature Sensor,841.27,9,5,SUP_0190
PART_0066,Current Sensor,270.79,33,15,SUP_0279
PART_0067,Hose Assembly,639.12,44,14,SUP_0335
PART_0068,Solenoid Valve,485.47,47,15,SUP_0284
PART_0069,Gasket Set,283.45,47,3,SUP_0481
PART_0070,Relay Module,792.75,21,3,SUP_0456
PART_0071,Control Fuse,114.19,40,4,SUP_0140
PART_0072,Lubricant Pack,267.95,18,13,SUP_0176
PART_0073,Compressor Seal Kit,199.17,45,15,SUP_0136
PART_0074,Cooling Fan,464.76,21,15,SUP_0027
PART_0075,Motor Bearing,101.22,32,15,SUP_0142
PART_0076,Pressure Valve,58.8,26,14,SUP_0067
PART_0077,Coupling Seal,580.66,21,4,SUP_0380
PART_0078,Oil Filter,408.82,50,8,SUP_0288
PART_0079,Dryer Valve Assembly,28.51,9,13,SUP_0463
PART_0080,Pressure Switch,151.17,7,15,SUP_0190
PART_0081,Air Filter,532.61,14,8,SUP_0066
PART_0082,Drive Belt,56.81,28,14,SUP_0498
PART_0083,Temperature Sensor,777.42,27,5,SUP_0350
PART_0084,Current Sensor,239.59,11,7,SUP_0400
PART_0085,Hose Assembly,512.7,60,8,SUP_0499
PART_0086,Solenoid Valve,566.18,14,5,SUP_0443
